Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
425,Dario Šari?,C,29,GSW,48,9,19.8,3.4,7.1,0.481,1.5,3.6,0.413,1.9,3.5,0.55,0.585,1.5,1.8,0.86,1.3,3.9,5.2,2.5,0.6,0.2,1.3,2.1,9.9
426,Olivier Sarr,C,24,OKC,12,0,7.4,0.8,1.5,0.556,0.2,0.5,0.333,0.7,1,0.667,0.611,0.8,1.1,0.692,0.8,2,2.8,0.2,0,0.5,0.3,1.4,2.6
427,Marcus Sasser,PG,23,DET,47,0,16.2,3,6.1,0.484,1.2,2.8,0.431,1.8,3.3,0.529,0.582,0.7,0.8,0.868,0.1,1.4,1.5,2.9,0.5,0.2,0.9,1.4,7.8
428,Admiral Schofield,PF,26,ORL,12,0,3.8,0.4,1.3,0.333,0.2,0.8,0.222,0.3,0.5,0.5,0.4,0,0.2,0,0.1,0.5,0.6,0.3,0,0,0.3,0.6,1
429,Dennis Schröder,PG,30,TOT,52,33,30.5,4.9,11,0.442,1.5,4.3,0.356,3.3,6.7,0.499,0.512,2.4,2.9,0.852,0.4,2.3,2.8,6.3,0.9,0.2,1.6,2.1,13.7
429,Dennis Schröder,PG,30,TOR,51,33,30.6,4.8,11,0.442,1.5,4.3,0.35,3.3,6.6,0.501,0.511,2.5,2.9,0.852,0.4,2.3,2.7,6.1,0.9,0.2,1.6,2.1,13.7
429,Dennis Schröder,PG,30,BRK,1,0,27,6,13,0.462,3,5,0.6,3,8,0.375,0.577,0,0,0,0,3,3,12,0,0,2,4,15
430,Dereon Seabron,SG,23,NOP,5,0,10.4,0.8,2.6,0.308,0.2,0.4,0.5,0.6,2.2,0.273,0.346,1,1.2,0.833,0.2,1.2,1.4,0.8,0.4,0.2,0,0.8,2.8
431,Alperen ?engün,C,21,HOU,51,51,32.4,8.5,15.7,0.541,0.5,1.9,0.289,7.9,13.8,0.575,0.558,3.8,5.3,0.717,2.8,6.5,9.3,5,1.1,0.7,2.6,3.3,21.3
432,Brice Sensabaugh,SF,20,UTA,4,0,3,0.5,1.5,0.333,0.3,0.5,0.5,0.3,1,0.25,0.417,0,0,0,0.3,0.5,0.8,0.5,0,0,0,0.3,1.3
433,Collin Sexton,SG,25,UTA,53,30,24.4,5.9,12.3,0.482,1.5,4,0.387,4.4,8.3,0.527,0.544,4.1,4.7,0.871,0.9,1.7,2.5,4.5,0.7,0.2,1.9,2,17.5
434,Landry Shamet,SG,26,WAS,35,0,15.1,2.7,6.1,0.449,1.2,3.4,0.364,1.5,2.7,0.552,0.549,0.9,1.1,0.795,0.3,1,1.3,1.3,0.5,0.2,0.6,1.8,7.6
435,Day'Ron Sharpe,C,22,BRK,37,1,16,3,5.2,0.575,0,0.2,0.143,3,5,0.591,0.578,1.5,2.4,0.614,2.8,4.2,7,1.4,0.5,0.9,1,2.3,7.5
436,Shaedon Sharpe,SG,20,POR,32,25,33.1,5.5,13.6,0.406,1.9,5.6,0.333,3.6,7.9,0.457,0.475,3.1,3.7,0.824,1.3,3.7,5,2.9,0.9,0.4,2.3,2.8,15.9
437,Ben Sheppard,SG,22,IND,31,0,10.7,1.1,3,0.366,0.5,2,0.274,0.5,1,0.548,0.457,0.4,0.5,0.8,0.2,1,1.3,0.8,0.5,0,0.2,1.3,3.1
438,Pascal Siakam,PF,29,TOT,52,52,34.3,8.5,15.9,0.535,1.2,3.6,0.341,7.3,12.3,0.591,0.573,3.8,5.3,0.733,1.6,4.9,6.5,4.8,0.8,0.3,2.1,2.4,22
438,Pascal Siakam,PF,29,TOR,39,39,34.7,8.3,16,0.522,1.2,3.7,0.317,7.2,12.3,0.584,0.559,4.3,5.7,0.758,1.4,4.9,6.3,4.9,0.8,0.3,2.1,2.2,22.2
438,Pascal Siakam,PF,29,IND,13,13,32.9,8.9,15.5,0.574,1.3,3.1,0.425,7.6,12.5,0.611,0.616,2.4,3.8,0.62,2.2,4.8,7,4.7,0.8,0.2,1.9,2.8,21.5
439,Ben Simmons,PG,27,BRK,11,9,25.8,3.4,5.4,0.627,0,0,0,3.4,5.4,0.627,0.627,0.3,0.7,0.375,2.4,6.3,8.6,6.4,0.8,0.7,2.2,2.5,7
